J.C. Gutiérrez,RP,30.5,,,LAA,SF,1,"$850,000","$850,000"
Rich Hill,SP,33.8,L,L,CLE,BOS,1,"$840,000","$840,000"
Sam Fuld,CF,32.2,L,L,TB,OAK,1,"$800,000","$800,000"
Brennan Boesch,RF,28.8,L,L,NYY,LAA,1,"$800,000","$800,000"
Omar Quintanilla,SS,32.2,L,R,NYM,NYM,1,"$800,000","$800,000"
Chris Coghlan,LF,28.5,L,R,MIA,CHC,1,"$800,000","$800,000"
Scott Atchison,RP,37.8,R,R,NYM,CLE,1,"$800,000","$800,000"
Xavier Nady,1B,35.1,,,COL,SD,1,"$775,000","$775,000"
Grady Sizemore,RF,31.4,L,L,CLE,BOS,1,"$750,000","$750,000"
Chad Gaudin,SP,30.8,,,SF,PHI,1,"$750,000","$750,000"
Adam Rosales,2B,30.4,R,R,OAK,TEX,1,"$750,000","$750,000"
Taylor Teagarden,C,30.0,R,R,BAL,NYM,1,"$725,000","$725,000"
Daniel Hudson,RP,26.8,R,R,ARI,ARI,1,"$700,000","$700,000"
Mike Baxter,LF,28.9,L,R,NYM,LAD,1,"$700,000","$700,000"
Ryan Kalish,LF,25.8,,,BOS,CHC,1,"$550,000","$550,000"
Francisco Peguero,RF,25.5,,,SF,BAL,1,"$550,000","$550,000"
A.J. Pierzynski,C,37.5,L,R,BOS,STL,1,"$500,000","$500,000"
Tony Sipp,RP,30.5,L,L,ARI,SD,1,"$500,000","$500,000"
Zach Putnam,RP,26.5,R,R,CHC,CHW,1,"$500,000","$500,000"
Dylan Axelrod,RP,28.4,R,R,CHW,CHW,1,"$500,000","$500,000"
Jim Johnson,RP,31.1,R,R,OAK,DET,1,-,-
Clayton Richard,RP,30.8,L,L,SD,ARI,-,-,-
John Buck,C,34.0,R,R,SEA,LAA,1,-,-
Jose Veras,RP,33.6,R,R,CHC,HOU,1,-,-
Andres Torres,CF,36.3,,,SF,BOS,1,-,-
Miguel Tejada,2B,39.9,,,KC,MIA,1,-,-
Kyle Farnsworth,RP,38.1,,,NYM,HOU,1,-,-
Heath Bell,RP,36.6,,,TB,BAL,1,-,-
Rafael Betancourt,RP,38.9,,,COL,COL,1,-,-
Jeremy Jeffress,RP,26.5,R,R,TOR,MIL,1,-,-
Frank Francisco,RP,34.6,,,NYM,CHW,1,-,-
Tommy Hanson,SP,27.6,,,TEX,CHW,1,-,-
Bobby Abreu,LF,40.0,,,PHI,NYM,1,-,-
Joe Blanton,RP,33.2,R,R,LAA,OAK,1,-,-
Endy Chavez,LF,36.1,L,L,SEA,SEA,1,-,-
David Aardsma,RP,32.2,,,CLE,STL,1,-,-
Rob Johnson,C,40.8,,,STL,SD,1,-,-
Koyie Hill,C,34.8,,,MIA,WSH,1,-,-
Chang-yong Lim,RP,37.6,,,CHC,CHC,1,-,-
Daniel Bard,RP,28.6,R,R,CHC,TEX,1,-,-
Nick Massett,RP,31.7,R,R,CIN,COL,1,-,-
Wilson Betemit,3B,32.2,,,BAL,TB,1,-,-
Manny Corpas,RP,31.1,,,COL,COL,1,-,-
Chad Tracy,1B,33.7,,,WSH,BAL,1,-,-
Jeremy Hermida,RF,29.9,,,CLE,MIL,1,-,-
Ryan Roberts,2B,33.3,,,TB,CHC,1,-,-
Aaron Cunningham,LF,27.8,,,TEX,CHC,1,-,-
Chris Valaika,2B,28.4,R,R,MIA,CHC,1,-,-
Eli Whiteside,C,34.2,,,TEX,CHC,1,-,-
Mike Fontenot,2B,33.6,,,TB,WSH,1,-,-
Ty Wigginton,3B,36.2,,,STL,MIA,1,-,-
Mark Rogers,RP,27.9,,,MIL,SEA,1,-,-
Shelley Duncan,LF,34.2,,,TB,ARI,1,-,-
Lars Anderson,1B,26.2,,,TOR,CHC,1,-,-
Scott Cousins,RF,29.0,,,LAA,BOS,1,-,-
Jon Rauch,RP,5.7,,,BAL,KC,1,-,-
Aaron Laffey,RP,28.8,,,LAD,BAL,1,-,-
Chris Getz,2B,30.3,,,KC,TOR,1,-,-
Ronny Cedeno,SS,30.9,R,R,SD,PHI,1,-,-
Brian Omogrosso,RP,29.7,,,CHW,CHW,1,-,-
Kameron Loe,RP,32.3,,,ATL,SF,1,-,-
Jeff Francis,SP,33.0,L,L,COL,CIN,1,-,-
Sandy Rosario,RP,28.3,,,SF,SF,1,-,-
Cesar Izturis,SS,33.9,,,CIN,HOU,1,-,-
Scott Sizemore,2B,29.0,,,OAK,NYY,1,-,-
Zach Braddock,RP,26.3,,,BAL,SD,1,-,-
Robert Coello,RP,29.1,,,LAA,NYY,1,-,-
Jamey Carroll,2B,39.8,,,KC,WSH,1,-,-
Xavier Paul,LF,28.8,,,CIN,BAL,1,-,-
Chris Snyder,C,32.8,,,BAL,WSH,1,-,-
Tsuyoshi Wada,SP,32.8,L,L,BAL,CHC,1,-,-
Jordany Valdespin,2B,25.9,L,R,NYM,MIA,1,-,-
Jonathan Sanchez,SP,31.1,,,PIT,CHC,1,-,-
Lou Marson,C,27.4,,,CLE,PHI,1,-,-
Josh Bell,3B,27.1,,,ARI,LAD,1,-,-
Tyler Cloyd,RP,26.5,R,R,CLE,CLE,1,-,-
Matt Carson,LF,32.4,,,CLE,CLE,1,-,-
Henry Blanco,C,42.2,,,SEA,ARI,1,-,-
Brent Lillibridge,LF,30.2,,,NYY,TEX,1,-,-
Yunesky Maya,RP,32.2,,,WSH,ATL,1,-,-
Jairo Asencio,RP,30.5,,,BAL,CHW,1,-,-
Wade LeBlanc,SP,29.2,L,L,HOU,LAA,1,-,-
J.C. Boscan,C,33.8,,,CHC,LAD,1,-,-
Vernon Wells,LF,35.9,,,NYY,TBD,-,,
Barry Zito,SP,36.5,L,L,SF,TBD,-,,
Alfonso Soriano,DH,38.8,,,NYY,TBD,-,,
Michael Young,3B,38.0,,,LAD,TBD,-,,
Dan Uggla,2B,34.6,R,R,SF,TBD,-,,
Lance Berkman,DH,38.7,,,TEX,TBD,-,,
Brian Roberts,2B,37.1,,,NYY,TBD,-,,
Jason Kubel,LF,32.4,,,MIN,TBD,-,,
Carlos Marmol,RP,32.0,,,MIA,TBD,-,,
Frank Francisco,RP,35.1,,,CHW,TBD,-,,
Justin Masterson,RP,29.6,R,R,STL,TBD,-,,
Chris Young,RF,31.2,R,R,NYM,TBD,-,,
