Doug Slaten,RP,31.9,,,WSH,PIT,1,-,-,,,,,,,,,,,
Koyie Hill,C,32.8,,,CHC,STL,1,-,-,,,,,,,,,,,
Wil Nieves,C,34.2,R,R,MIL,COL,1,-,-,,,,,,,,,,,
Hideki Okajima,RP,35.9,,,BOS,NYY,1,-,-,,,,,,,,,,,
Conor Jackson,1B,28.8,,,BOS,TEX,1,-,-,,,,,,,,,,,
Hiroki Kuroda,SP,35.8,,,LAD,NYY,-,-,-,,,,,,,,,,,
J.D. Drew,RF,37.0,,,BOS,TBD,-,,,,,,,,,,,,,
Jorge Posada,C,41.2,,,NYY,TBD,-,,,,,,,,,,,,,
Carlos Guillen,1B,37.1,,,DET,TBD,-,,,,,,,,,,,,,
Kosuke Fukudome,RF,35.5,,,CLE,TBD,-,,,,,,,,,,,,,
Joe Nathan,RP,37.9,R,R,MIN,TBD,-,,,,,,,,,,,,,
Francisco Cordero,RP,37.5,,,CIN,TBD,-,,,,,,,,,,,,,
Milton Bradley,RF,34.5,,,SEA,TBD,-,,,,,,,,,,,,,
Magglio Ordonez,RF,38.8,,,DET,TBD,-,,,,,,,,,,,,,
Scott Kazmir,SP,28.8,L,L,LAA,TBD,-,,,,,,,,,,,,,
Jimmy Rollins,SS,33.9,S,R,PHI,TBD,-,,,,,,,,,,,,,
Mike Cameron,CF,39.8,,,MIA,TBD,-,,,,,,,,,,,,,
Kenshin Kawakami,SP,37.4,,,ATL,TBD,-,,,,,,,,,,,,,
Vladimir Guerrero,RF,37.7,,,BAL,TBD,-,,,,,,,,,,,,,
Jason Marquis,SP,34.2,L,R,WSH,TBD,-,,,,,,,,,,,,,
Derrek Lee,1B,37.2,,,PIT,TBD,-,,,,,,,,,,,,,
Javier Vazquez,SP,36.3,,,MIA,TBD,-,,,,,,,,,,,,,
Miguel Tejada,2B,38.4,,,SF,TBD,-,,,,,,,,,,,,,
Fernando Rodney,RP,35.6,R,R,LAA,TBD,-,,,,,,,,,,,,,
Nate McLouth,LF,31.0,L,R,PIT,TBD,-,,,,,,,,,,,,,
Lyle Overbay,1B,35.8,L,L,PIT,TBD,-,,,,,,,,,,,,,
Kevin Gregg,RP,34.4,R,R,BAL,TBD,-,,,,,,,,,,,,,
Paul Maholm,RP,30.4,L,L,PIT,TBD,-,,,,,,,,,,,,,
Jason Kubel,LF,30.4,,,MIN,TBD,-,,,,,,,,,,,,,
Ryan Madson,RP,32.2,L,R,PHI,TBD,-,,,,,,,,,,,,,
Damaso Marte,RP,37.7,,,NYY,TBD,-,,,,,,,,,,,,,
Arthur Rhodes,RP,43.0,,,TEX,TBD,-,,,,,,,,,,,,,
Ryan Doumit,C,31.6,B,R,PIT,TBD,-,,,,,,,,,,,,,
John Grabow,RP,34.0,,,LAD,TBD,-,,,,,,,,,,,,,
Yuniesky Betancourt,1B,30.8,,,MIL,TBD,-,,,,,,,,,,,,,
Kyle Davies,SP,29.1,,,TOR,TBD,-,,,,,,,,,,,,,
Tsuyoshi Nishioka,2B,28.3,,,MIN,TBD,-,,,,,,,,,,,,,
Jason Kendall,C,38.4,,,KC,TBD,-,,,,,,,,,,,,,
Brandon Webb,SP,33.5,,,TEX,TBD,-,,,,,,,,,,,,,
Ivan Rodriguez,C,40.9,,,TEX,TBD,-,,,,,,,,,,,,,
Brad Hawpe,RF,33.4,,,SD,TBD,-,,,,,,,,,,,,,
Kelly Shoppach,C,32.5,,,TB,TBD,-,,,,,,,,,,,,,
Hong-Chih Kuo,SP,31.3,,,LAD,TBD,-,,,,,,,,,,,,,
Mike Wuertz,RP,33.9,,,OAK,TBD,-,,,,,,,,,,,,,
Danys Baez,RP,35.1,,,PHI,TBD,-,,,,,,,,,,,,,
Chad Qualls,RP,34.2,R,R,SD,TBD,-,,,,,,,,,,,,,
Jack Cust,DH,33.8,,,HOU,TBD,-,,,,,,,,,,,,,
Armando Galarraga,SP,30.8,,,DET,TBD,-,,,,,,,,,,,,,
Jeff Keppinger,3B,32.5,,,SF,TBD,-,,,,,,,,,,,,,
Shawn Camp,RP,37.0,,,TOR,TBD,-,,,,,,,,,,,,,
Edgar Renteria,SS,37.2,,,CIN,TBD,-,,,,,,,,,,,,,
Ross Ohlendorf,RP,30.2,,,BOS,TBD,-,,,,,,,,,,,,,
Jason Varitek,C,40.6,,,BOS,TBD,-,,,,,,,,,,,,,
Jeff Francis,SP,31.8,L,L,KC,TBD,-,,,,,,,,,,,,,
Omar Vizquel,2B,45.5,,,TOR,TBD,-,,,,,,,,,,,,,
Tony Pena,RP,31.6,,,CHW,TBD,-,,,,,,,,,,,,,
Robinson Tejeda,RP,30.6,,,CLE,TBD,-,,,,,,,,,,,,,
Rich Harden,SP,30.9,,,OAK,TBD,-,,,,,,,,,,,,,
Cesar Izturis,SS,32.7,,,BAL,TBD,-,,,,,,,,,,,,,
Clay Hensley,RP,33.2,,,FLA,TBD,-,,,,,,,,,,,,,
Joel Zumaya,RP,28.0,,,DET,TBD,-,,,,,,,,,,,,,
Craig Counsell,3B,42.2,,,MIL,TBD,-,,,,,,,,,,,,,
J.C. Romero,RP,36.4,,,WSH,TBD,-,,,,,,,,,,,,,
Ross Gload,1B,36.6,,,PHI,TBD,-,,,,,,,,,,,,,
George Sherrill,RP,35.5,,,ATL,TBD,-,,,,,,,,,,,,,
Ramon Castro,C,36.7,,,CHW,TBD,-,,,,,,,,,,,,,
Gerald Laird,C,33.0,R,R,STL,TBD,-,,,,,,,,,,,,,
Orlando Cabrera,SS,38.0,,,CLE,TBD,-,,,,,,,,,,,,,
Wes Helms,3B,36.5,,,FLA,TBD,-,,,,,,,,,,,,,
Felipe Lopez,SS,37.9,,,MIL,TBD,-,,,,,,,,,,,,,
Erik Bedard,SP,33.7,,,BOS,TBD,-,,,,,,,,,,,,,
Livan Hernandez,SP,37.7,,,WSH,TBD,-,,,,,,,,,,,,,
Andy Sonnanstine,SP,29.6,,,TB,TBD,-,,,,,,,,,,,,,
Sergio Mitre,RP,31.7,,,NYY,TBD,-,,,,,,,,,,,,,
Matt Treanor,C,36.7,,,TEX,TBD,-,,,,,,,,,,,,,
Jorge Cantu,3B,30.8,,,SD,TBD,-,,,,,,,,,,,,,
Matt Stairs,RF,44.7,,,WSH,TBD,-,,,,,,,,,,,,,
Mark Kotsay,CF,36.9,,,MIL,TBD,-,,,,,,,,,,,,,
Chad Durbin,RP,34.9,,,CLE,TBD,-,,,,,,,,,,,,,
Reggie Willits,LF,31.4,,,LAA,TBD,-,,,,,,,,,,,,,
Brian Tallet,RP,35.1,,,TOR,TBD,-,,,,,,,,,,,,,
Nick Punto,SS,35.0,,,STL,TBD,-,,,,,,,,,,,,,
Josh Bard,C,34.6,,,SEA,TBD,-,,,,,,,,,,,,,
Justin Duchscherer,SP,35.0,,,BAL,TBD,-,,,,,,,,,,,,,
Jay Gibbons,RF,35.7,,,LAD,TBD,-,,,,,,,,,,,,,
Travis Buck,RF,29.0,,,CLE,TBD,-,,,,,,,,,,,,,
Taylor Buchholz,RP,31.1,,,NYM,TBD,-,,,,,,,,,,,,,
Luis Rodriguez,SS,32.4,,,SEA,TBD,-,,,,,,,,,,,,,
Mike MacDougal,RP,35.7,,,LAD,TBD,-,,,,,,,,,,,,,
Aaron Miles,2B,35.9,,,LAD,TBD,-,,,,,,,,,,,,,
John Bowker,CF,29.3,,,PIT,TBD,-,,,,,,,,,,,,,
Jayson Nix,2B,30.2,R,R,TOR,TBD,-,,,,,,,,,,,,,
Mitch Stetter,RP,31.8,,,TEX,TBD,-,,,,,,,,,,,,,
Donnie Murphy,3B,29.6,,,MIA,TBD,-,,,,,,,,,,,,,
Ryan Speier,RP,33.3,,,WSH,TBD,-,,,,,,,,,,,,,
Jake Fox,DH,30.3,,,BAL,TBD,-,,,,,,,,,,,,,
Eric Patterson,LF,29.6,,,SD,TBD,-,,,,,,,,,,,,,
Will Rhymes,2B,29.6,,,DET,TBD,-,,,,,,,,,,,,,
Kam Mickolio,RP,28.5,,,ARI,TBD,-,,,,,,,,,,,,,
Dontrelle Willis,SP,30.8,,,CIN,TBD,-,,,,,,,,,,,,,
Reegie Corona,2B,26.0,,,NYY,TBD,-,,,,,,,,,,,,,
Bob Cramer,RP,33.0,,,OAK,TBD,-,,,,,,,,,,,,,
Kevin Whelan,RP,28.8,,,NYY,TBD,-,,,,,,,,,,,,,
Rodrigo Lopez,SP,36.9,,,CHC,TBD,-,,,,,,,,,,,,,
Matt Palmer,RP,33.6,,,SD,TBD,-,,,,,,,,,,,,,
John Maine,SP,31.5,,,COL,TBD,-,,,,,,,,,,,,,
Doug Davis,SP,37.1,,,CHC,TBD,-,,,,,,,,,,,,,
